Problem	Algo	QI	QI1	QI2
RP	MOCell	ND	GS	C
RP	NSGA-II	ND	GS	C
RP	PAES	ND	GS	C
RP	SMPSO	GS	GS	C
RP	SPEA2	GS	GS	C
RP	CellDE	ED	ED	PFS
RP	MOCell	ND	ED	PFS
RP	NSGA-II	ED	ED	PFS
RP	PAES	PFS	ED	PFS
RP	SMPSO	ED	ED	PFS
RP	SPEA2	PFS	ED	PFS
RP	CellDE	ED	ED	C
RP	MOCell	ND	ED	C
RP	NSGA-II	ED	ED	C
RP	PAES	ND	ED	C
RP	SMPSO	ND	ED	C
RP	SPEA2	ED	ED	C
RP	CellDE	C	PFS	C
RP	MOCell	ND	PFS	C
RP	NSGA-II	ND	PFS	C
RP	PAES	PFS	PFS	C
RP	SMPSO	C	PFS	C
RP	SPEA2	PFS	PFS	C
TM	CellDE	ND	HV	IGD
TM	MOCell	ND	HV	IGD
TM	NSGA-II	ND	HV	IGD
TM	PAES	ND	HV	IGD
TM	SMPSO	ND	HV	IGD
TM	SPEA2	IGD	HV	IGD
TM	CellDE	ND	HV	EP
TM	MOCell	ND	HV	EP
TM	NSGA-II	ND	HV	EP
TM	PAES	ND	HV	EP
TM	SMPSO	ND	HV	EP
TM	SPEA2	ND	HV	EP
TM	CellDE	ND	HV	GD
TM	MOCell	GD	HV	GD
TM	NSGA-II	ND	HV	GD
TM	PAES	ND	HV	GD
TM	SMPSO	ND	HV	GD
TM	SPEA2	GD	HV	GD
TM	CellDE	GS	HV	GS
TM	MOCell	HV	HV	GS
TM	NSGA-II	HV	HV	GS
TM	PAES	ND	HV	GS
TM	SMPSO	GS	HV	GS
TM	SPEA2	HV	HV	GS
TM	CellDE	ND	HV	ED
TM	MOCell	ND	HV	ED
TM	NSGA-II	ND	HV	ED
TM	PAES	ND	HV	ED
TM	SMPSO	ED	HV	ED
TM	SPEA2	ED	HV	ED
TM	CellDE	HV	HV	PFS
TM	MOCell	ND	HV	PFS
TM	NSGA-II	ND	HV	PFS
TM	PAES	PFS	HV	PFS
TM	SMPSO	HV	HV	PFS
TM	SPEA2	ND	HV	PFS
TM	CellDE	HV	HV	C
TM	MOCell	HV	HV	C
TM	NSGA-II	HV	HV	C
TM	PAES	ND	HV	C
TM	SMPSO	HV	HV	C
TM	SPEA2	C	HV	C
TM	CellDE	ND	IGD	EP
TM	MOCell	ND	IGD	EP
TM	NSGA-II	ND	IGD	EP
TM	PAES	ND	IGD	EP
TM	SMPSO	ND	IGD	EP
TM	SPEA2	IGD	IGD	EP
TM	CellDE	ND	IGD	GD
TM	MOCell	GD	IGD	GD
TM	NSGA-II	ND	IGD	GD
TM	PAES	ND	IGD	GD
TM	SMPSO	ND	IGD	GD
TM	SPEA2	ND	IGD	GD
TM	CellDE	GS	IGD	GS
TM	MOCell	IGD	IGD	GS
TM	NSGA-II	IGD	IGD	GS
TM	PAES	ND	IGD	GS
TM	SMPSO	GS	IGD	GS
TM	SPEA2	IGD	IGD	GS
TM	CellDE	ND	IGD	ED
TM	MOCell	ND	IGD	ED
TM	NSGA-II	ND	IGD	ED
TM	PAES	ND	IGD	ED
TM	SMPSO	ED	IGD	ED
TM	SPEA2	ND	IGD	ED
TM	CellDE	IGD	IGD	PFS
TM	MOCell	ND	IGD	PFS
TM	NSGA-II	ND	IGD	PFS
TM	PAES	PFS	IGD	PFS
TM	SMPSO	IGD	IGD	PFS
TM	SPEA2	IGD	IGD	PFS
TM	CellDE	IGD	IGD	C
TM	MOCell	IGD	IGD	C
TM	NSGA-II	IGD	IGD	C
TM	PAES	ND	IGD	C
TM	SMPSO	IGD	IGD	C
TM	SPEA2	ND	IGD	C
TM	CellDE	ND	EP	GD
TM	MOCell	GD	EP	GD
TM	NSGA-II	ND	EP	GD
TM	PAES	ND	EP	GD
TM	SMPSO	ND	EP	GD
TM	SPEA2	GD	EP	GD
TM	CellDE	GS	EP	GS
TM	MOCell	EP	EP	GS
TM	NSGA-II	EP	EP	GS
TM	PAES	ND	EP	GS
TM	SMPSO	GS	EP	GS
TM	SPEA2	EP	EP	GS
TM	CellDE	ND	EP	ED
TM	MOCell	ND	EP	ED
TM	NSGA-II	ND	EP	ED
TM	PAES	ND	EP	ED
TM	SMPSO	ED	EP	ED
TM	SPEA2	ED	EP	ED
