Problem	QI	Algo	Alg1	Alg2
TM	GS	SMPSO	SMPSO	SPEA2
TM	ED	SPEA2	SMPSO	SPEA2
TM	PFS	SPEA2	SMPSO	SPEA2
TM	C	SPEA2	SMPSO	SPEA2
TP1	HV	MOCell	CellDE	MOCell
TP1	IGD	MOCell	CellDE	MOCell
TP1	EP	CellDE	CellDE	MOCell
TP1	GD	MOCell	CellDE	MOCell
TP1	GS	MOCell	CellDE	MOCell
TP1	ED	MOCell	CellDE	MOCell
TP1	PFS	MOCell	CellDE	MOCell
TP1	C	MOCell	CellDE	MOCell
TP1	HV	NSGA-II	CellDE	NSGA-II
